articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
9-2-2015,0.89,0.89,mean,0,MATCH,NA
9-2-2015,0.3,0.3,mean,0,MATCH,NA
9-2-2015,0.25,0.25,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.7,0.7,mean,0,MATCH,NA
9-2-2015,0.75,0.75,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.75,0.75,mean,0,MATCH,NA
9-2-2015,0.75,0.75,mean,0,MATCH,NA
9-2-2015,0.85,0.85,mean,0,MATCH,NA
9-2-2015,0.7,0.7,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.75,0.75,mean,0,MATCH,NA
9-2-2015,0.7,0.7,mean,0,MATCH,NA
9-2-2015,40,40,n,0,MATCH,NA
9-2-2015,1,1,df,0,MATCH,NA
9-2-2015,6.4,6.4,x2,0,MATCH,NA
9-2-2015,0.011,0.011,p,0,MATCH,NA
9-2-2015,0.4,0.4,phi,0,MATCH,NA
9-2-2015,40,40,n,0,MATCH,NA
9-2-2015,1,1,df,0,MATCH,NA
9-2-2015,10,10,x2,0,MATCH,NA
9-2-2015,<.005,0.0015654022580025514,p,NA,MATCH,TRUE
9-2-2015,0.5,0.5,phi,0,MATCH,NA
